;кто;текст;кому;контекст;уровень;post
2425;188690084;[id320765743|Анатолий], падла;320765743;[id552016958|Something], падла;2;5071982
2426;552016958;[id320765743|Anatoly], как минимум он обошёл блеватику;320765743;[id359239295|Илья], а лавер хоть что то обошел в этом мире?...;2;5071982
2427;359239295;"[id320765743|Анатолий], тебе что-то конкретное в этом альбоме пояснить? Или что? К чему вопрос, если мы сравниваем 2 последних альбома? С таким же успехом я могу сказать что-то про альбом Джоан, или сборник неслушабельного джаз говнеца
По показателям, альтом и стартовал, и держится успешнее Флопатики";320765743;[id359239295|Илья], а лавер хоть что то обошел в этом мире?...;2;5071982
2428;320765743;[id359239295|Илья], щас бы псевдоальтернативу сранивать. лавер отсосал по всем фронтам;359239295;"[id320765743|Анатолий], тебе что-то конкретное в этом альбоме пояснить? Или что? К чему вопрос, если мы сравниваем 2 последних альбома? С таким же успехом я могу сказать что-то про альбом Джоан, или сборник неслушабельного джаз говнеца
По показателям, альтом и стартовал, и держится успешнее Флопатики";2;5071982
2429;552016958;[id320765743|Anatoly], ты, кстати, паршивый редачер;320765743;[id359239295|Илья], щас бы псевдоальтернативу сранивать. лавер отсосал по всем фронтам;2;5071982
2430;359239295;"[id320765743|Анатолий], ору пидорок 
Ты сейчас только что сел в лужу 
Сначала пиздишь что-то про Свифт, а потом, когда понимаешь, что аргументов для спора нет, говоришь что жанр другой🤣
Скажи ещё, что сейчас альтернатива очень модная и самый востребованный жанр, а ещё что он коммерческий 
Где Лавр отсосал? В дебютных продажах? Премии VMA, AMA или Билборд? Где именно?";320765743;[id359239295|Илья], щас бы псевдоальтернативу сранивать. лавер отсосал по всем фронтам;2;5071982
2431;452868634;[id320765743|Анатолий], так если лавер отсосал, то че он выйдя год назад находится выше новой Хроматики в чартах Британии и Австралии? И это к слову не США, где все можно списать но то, что это основной рынок Свифт;320765743;[id359239295|Илья], щас бы псевдоальтернативу сранивать. лавер отсосал по всем фронтам;2;5071982
2432;101345669;Queen;post;post;1;5071982
2433;187070965;[id101345669|Дмитрий], музыкальная императрица именно такая;101345669;Queen;2;5071982
2434;320318186;Как Бибер вообще провёл больше месяца на вершине с этим поносом?;post;post;1;5071982
2435;187070965;[id320318186|Лев], фанатки, видимо, постарались;320318186;Как Бибер вообще провёл больше месяца на вершине с этим поносом?;2;5071982
2436;611552937;[id320318186|Лев], там есть парочка годных треков;320318186;Как Бибер вообще провёл больше месяца на вершине с этим поносом?;2;5071982
2437;359239295;[id320318186|Лев], видимо есть копрофилы на этом свете 🤷‍♂️;320318186;Как Бибер вообще провёл больше месяца на вершине с этим поносом?;2;5071982
2438;606844562;бред;611552937;[id320318186|Лев], там есть парочка годных треков;2;5071982
2439;611552937;[id606844562|Rare], отвали;606844562;бред;2;5071982
2440;592816350;[id320318186|Лев], Свифт же не мешает с проходняком возглавлять 36 дней;320318186;Как Бибер вообще провёл больше месяца на вершине с этим поносом?;2;5071982
2441;345716874;[id592816350|Дева], так хороший крепкий альбом или проходняк, ты определишься?;592816350;[id320318186|Лев], Свифт же не мешает с проходняком возглавлять 36 дней;2;5071982
2442;592816350;[id345716874|Кристина], Тут всё ясно: хороший в дискографии Свифт,проходняк на фоне материала других артистов.;345716874;[id592816350|Дева], так хороший крепкий альбом или проходняк, ты определишься?;2;5071982
2443;345716874;[id592816350|Дева], каких? Мейнстримных? Явно нет, ты сама писала, что она как глоток воздуха или луч света или что-то в этом роде, а сейчас уже проходняк) Проходняк, являющийся лучом света? Интересно;592816350;[id345716874|Кристина], Тут всё ясно: хороший в дискографии Свифт,проходняк на фоне материала других артистов.;2;5071982
2444;592816350;[id345716874|Кристина], Да,но среди вышедших альтернативных - явно нет.;345716874;[id592816350|Дева], каких? Мейнстримных? Явно нет, ты сама писала, что она как глоток воздуха или луч света или что-то в этом роде, а сейчас уже проходняк) Проходняк, являющийся лучом света? Интересно;2;5071982
2445;345716874;[id592816350|Дева], изворотливость и лицемерие, в посте упоминали Бибера, коммент про Бибера, а ты написала, будто на его фоне проходняк или на уровне с ним;592816350;[id345716874|Кристина], Да,но среди вышедших альтернативных - явно нет.;2;5071982
2446;592816350;"[id345716874|Кристина], Почему «будто»?
Верно полагаешь,на уровне с ним.";345716874;[id592816350|Дева], изворотливость и лицемерие, в посте упоминали Бибера, коммент про Бибера, а ты написала, будто на его фоне проходняк или на уровне с ним;2;5071982
2447;345716874;[id592816350|Дева], ты шутишь?);592816350;"[id345716874|Кристина], Почему «будто»?
Верно полагаешь,на уровне с ним.";2;5071982
2448;494537154;[id592816350|Дева],;592816350;"[id345716874|Кристина], Почему «будто»?
Верно полагаешь,на уровне с ним.";2;5071982
2449;195314955;Создала успех;post;post;1;5071982
2450;474730055;Великая королева, уничтожает реперов каждый день;post;post;1;5071982
2451;604781166;Безумно может быть первой😍😍😍😈;post;post;1;5071982
2452;474730055;Мать мира;post;post;1;5071982
2453;552016958;Забыли дописать, что она вновь унизила леди падлу, которая украла  часть песни в свой говноремикс;post;post;1;5071982
2454;452868634;[id552016958|Something], когда этот творец прикладывает руки к созданию ремиксов, то любая песня становится хитом;552016958;Забыли дописать, что она вновь унизила леди падлу, которая украла  часть песни в свой говноремикс;2;5071982
2455;552016958;"[id452868634|Maria], РЭЙН
ОН
МИХИХИХИ";452868634;[id552016958|Something], когда этот творец прикладывает руки к созданию ремиксов, то любая песня становится хитом;2;5071982
2456;188690084;L E G E N D A Y L O R;post;post;1;5071982
2457;552016958;[id188690084|Anel], L E G E N D A Y L O R;188690084;L E G E N D A Y L O R;2;5071982
2458;188690084;[id552016958|Something], L E G E N D A Y L O R;552016958;[id188690084|Anel], L E G E N D A Y L O R;2;5071982
2459;606741975;[id188690084|Анель], L E G E N D A Y L O R;188690084;[id552016958|Something], L E G E N D A Y L O R;2;5071982
